"ID","text","sensibile"
"Health001","When I remember her I feel down",0
"Health002","When I carry heavy things I feel like breaking my back",0
"Health003","there is too much pain when i move my arm",0
"Health004","My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected",0
"Health005","My muscles in my lower back are aching",0
"Health006","i have muscle pain that my backnI Have Muscle Pain at my back leg",0
"Health007","I have muscle pain in my left leg",0
"Health008","I have cut my finger because of playing football and I have to apply pain relief cream but it does not help",0
"Health009","I have acne in my face and other problems in my derma like itching",1
"Health010","I have a strange rash on my arm",0
"Health011","I have a sharp pain in my lower stomach",0
"Health012","i have a knee pain when i walk a lot",0
"Health013","dr I feel a strange and powerful pain inside my rib cage",0
"Health014","Dont cry",0
"Health015","I have for dia",0
"Health016","I used to be out of breath after going up a dozen of stairs but now I struggle to breath even when I sit down",0
"Health017","i feel that its hard to breath for me specially after running or making any effort",0
"Health018","I read a book for along time and when I finished reading I feel head ache",1
"Health019","i cant sleep because of cold",0
"Health020","My infected wound cause fever",1
"Health021","I lose a lot of my hair",0
"Health022","i feel dizzy after severe diarrhea",1
"Health023","I feel a pain in my back",0
"Health024","Laceration rupture or opening in the skin",1
"Health025","My back hurts me and i cant bend it or walk",0
"Health026","My head hurts whenever I try to do something",0
"Health027","I have dark spots on my skin",0
"Health028","I feel a sharp pain in my stomach",0
"Health029","I cant do anything I feel a weak in my body",0
"Health030","I have cloudy eyes",0
"Health031","I have a back pain since I turned 70 years old",0
"Health032","I tried to put my glasses to see more clear but cant find any change",0
"Health033","I feel deep Tingling when I touch Acne followed by bad sensation",1
"Health034","My acne gets worse when it is hot",1
"Health035","Sometimes I feel like a claw on my chest that leaves me breathless",0
"Health036","my abdominal muscles have great pain since i was at GYM",1
"Health037","My back got injured while i was lifting at the gym",1
"Health038","my ankle is hurting me",0
"Health039","I think my wound is infected",0
"Health040","i feel pain in my knee",0
"Health041","My skin is very dry and peeling",0
"Health042","i cant move my shoulder because of pain",0
"Health043","when i wake up in the morning i feel dizzy",0
"Health044","My hair is falling out in huge amount",0
"Health045","I have a sharp pain in my neck",0
"Health046","There is pain in the muscles I do not know caused",0
"Health047","I have a problem in the expiration because i have abronchial asthma",1
"Health048","Every time I make an effort I felt dizzy",0
"Health049","I have a powerful pain inside my neck",0
"Health050","I have a pain internal",0
"Health051","chronic disease of hair follicles and sebaceous glands",1
"Health052","I feel a huge emotional pain after I broke up with my girlfriend",0
"Health053","When I stand up too quickly I start to feel dizzy and lightheaded",0
"Health054","I often get a sharp pain in my chest and I cant tell what Im doing that might be triggering it",0
"Health055","I have a feeling like my whole body is complaining",0
"Health056","My knee hurts when I play squash",1
"Health057","i cant see well",0
"Health058","I tried alot of cream but i still feel the same skin problem",0
"Health059","It feels like someone stuck a knife into my shoulder",0
"Health060","I feel a burning sensation in my shoulder muscle",0
"Health061","I cut my foot at the pool and it breaks open every day when I walk on it",1
"Health062","My knee catches and hurts when I first stand up after sitting",0
"Health063","I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream its not getting better",0
"Health064","I feel pain in my shoulders when I write on the keyboard",0
"Health065","i have a problem in seeing objects it is too difficult to see",0
"Health066","glass broken and wound my leg badly the wound is so wide",0
"Health067","I have a blurry vision during my swimming training in the pool why",1
"Health068","I love to walk and be outside but the bottoms of my feet get sore so quickly",0
"Health069","I feel pain in my knee when I climb the stairs",0
"Health070","I get tired too fast I can barely put on my clothes in the morning",0
"Health071","My knee hurts when I walk",0
"Health072","i cant rotate my neck",0
"Health073","My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected",0
"Health074","i have a problem in my back i cannot extend it",0
"Health075","I cant walk because i have a great foot ache",0
"Health076","My heart is beating fast and it scares me",0
"Health077","I used to have acne when I was 15 years old",1
"Health078","My muscles in my lower back are aching",0
"Health079","My shoulder muscle hurts when I try to reach up",0
"Health080","I feel heart pain when I walk a lot",0
"Health081","My hair is falling out in huge amount",0
"Health082","I feel a pain in my back",0
"Health083","My skin is itchy and inflamed",0
"Health084","i cant see well",0
"Health085","I have a cold and it makes me cough alot",0
"Health086","I have a dry throat",0
"Health087","Im not hearing well I have problem with my ear",0
"Health088","My foot is hurting so much",0
"Health089","My shower drain is full of hair every time",0
"Health090","I have front head pain and when I get it the light bothers me",0
