"ID","text","sensibile"
"Job001","You are an experienced handson manager with a background in developing and delivering software that simplifies solutions for a broad set of related problems",1
"Job002","As a manager of embedded software development you will engage with an experienced crossdisciplinary staff to conceive and design innovative products",1
"Job003","Software Development Engineers will be responsible for design development delivery and support of largescale multitiered distributed software applications and tools",1
"Job004","The IN Accounting Engineering team is responsible for building relevant systems workflows that automates simplifies the booking of Financial Accounting events from all Amazon India business launches",1
"Job005","Have the opportunity to closely work with a great team of software developersYou are the ideal candidate if you are equally comfortable writing code and defining technical architecture",1
"Job006","The AWS Hardware Engineering group provides our customers high performance and robust server platforms worldwide",1
"Job007","We need a talented and experienced software development engineer to join our teamYou will design and develop technical solutions across a wide array of technology domains with the goal of creating an amazing experience for kids and families",1
"Job008","Other candidates could be Software Engineers who have a passion for not just building software but seeing it all the way through the lifecycle into production and then owning the daytoday operations of a deployed systemRegardless of your background the ideal person will be passionate about building and running large scale services will have experience with software engineering Linux server administration and excellent troubleshooting skills",1
"Job009","The AWS Database Services team is looking for Systems Development Engineers to work on our AWS Redshift development teamWere looking for true Dev and Ops people",1
"Job010","We are looking for a passionate Software Development Engineer to help us build this service from the ground up to a public launchThis role relies on your abilities to design largescale distributed systems and develop test and launch a highly scalable and available service to AWS customers",1
"Job011","Working for Amazon FreeTime offers a creative fastpaced entrepreneurial work environment where you will be at the center of Amazon innovation",1
"Job012","The Amazon EC2 Container Service team Amazon ECS is looking for Software Development Engineers SDEs to help drive the development of new features functionality and capabilities",1
"Job013","Come and join us in the brand new Identity Access Management initiative within Amazon Fulfillment Technologies AFT",1
"Job014","Amazon Ecommerce Foundation is looking for a Principal Engineer who has passion for Big Data to build a disruptive new core service",1
"Job015","Experienced in building and leading teams of highly competent software engineers",1
"Job016","We are software developers designers scientists and product managers working big interesting customer opportunitiesWhat you’ll do as Senior Manager Product SatisfactionYou will own software development and product strategy for multiple programs in HCX",1
"Job017","Heres more information httpswwwamazoncomfreetimeAs Software Development Manager you will be responsible for leading a talented team of engineers in the design development test and deployment of our Amazon FreeTime services
",1
"Job018","Job title Software Development InternshipLocation Bielany Wrocławskie PolandDuration 36 monthsAbout usAmazon is a company of builders",1
"Job019","Joining Identity Management Software team gives you the opportunity to work on an extremely important and critical initiative that’s still in its early stages and build a product that will scale globally to Amazon’s massive scopeSuccessful candidates for this position will have strong software engineering fundamentals data structures objectoriented design and algorithms experience in the fullstack development a wellhoned arsenal of software architecture and design patterns and a demonstrated competence in designing reusable maintainable and performant software written in a modern highlevel language Java C C ObjectiveC JavaScript Python
",1
"Job020","You will lead the software development of largescale distributed inmemory storage platform in Java CC and other languages using open source technologies like Redis Memcached and Amazon proprietary technologies",1
"Job021","Amazon is driven by being “the world’s most customer centric company",0
"Job022","In the Health Safety Sustainability Security and Compliance HS3C organization we own ensuring that all products at Amazon are 100 complaint with all legal trade product safety and food safety requirements",0
"Job023","We’re obsessed with the safety of all our customers and workers creating a worldclass experience for our millions of vendors and sellers worldwide and inventing the best business and regulatory models for safe and sustainable supply chains in our industriesAs a Software Engineer you will work with your manager and team of highly skilled software data and test engineers to invent design and build highly stable and performant software",1
"Job024","You will work with your internal customers to balance customer requirements with team requirements and help your team and business evolve",0
"Job025","You will be using the latest AWS and industry technologies to deliver a onestop authoritative compliance ecosystem for Amazon keeping our customers safe and products compliant building the software creating the world’s most authoritative data set on everything companies and customers need to know related to the safety and compliance of products and supply chains",0
"Job026","You will collaborate with leaders of partner teams developing our social responsibility and packaging optimization systemsEach and every person buying selling or handling Amazon products will be your customerIf you’d like to make a realworld difference by working hard having fun and making history this is the team for youKey Responsibilities Design and develop critical components of world class scalable distributed systems",0
"Job027","Mentor junior Software Development Engineers",1
"Job028","Interface with our internal customers and technical leadership to inform and understand requirements and priorities",0
"Job029","Take on hard ambiguous problems and articulate solutions that will to serve the broader Amazon",0
"Job030","Help develop longterm technical strategies in the product supply chain space",0
"Job031","Amazon is driven by being “the world’s most customer centric company",0
"Job032","In the Health Safety Sustainability Security and Compliance HS3C organization we own ensuring that all products at Amazon are 100 complaint with all legal trade product safety and food safety requirements",0
"Job033","We’re obsessed with the safety of all our customers and workers creating a worldclass experience for our millions of vendors and sellers worldwide and inventing the best business and regulatory models for safe and sustainable supply chains in our industriesAs a Software Engineer you will work with your manager and team of highly skilled software data and test engineers to invent design and build highly stable and performant software",1
"Job034","You will work with your internal customers to balance customer requirements with team requirements and help your team and business evolve",0
"Job035","You will be using the latest AWS and industry technologies to deliver a onestop authoritative compliance ecosystem for Amazon keeping our customers safe and products compliant building the software creating the world’s most authoritative data set on everything companies and customers need to know related to the safety and compliance of products and supply chains",0
"Job036","You will collaborate with leaders of partner teams developing our social responsibility and packaging optimization systemsEach and every person buying selling or handling Amazon products will be your customerIf you’d like to make a realworld difference by working hard having fun and making history this is the team for youKey Responsibilities Design and develop critical components of world class scalable distributed systems",0
"Job037","Mentor junior Software Development Engineers",1
"Job038","Interface with our internal customers and technical leadership to inform and understand requirements and priorities",0
"Job039","Take on hard ambiguous problems and articulate solutions that will to serve the broader Amazon",0
"Job040","Help develop longterm technical strategies in the product supply chain space",0
"Job041","Have you ever wondered what it takes to build intelligence into enterprise systems so that we can enable near humanlike conversations with our systems",0
"Job042","Come join Amazon Lex where we are working on stateoftheart conversational approachesWhy Amazon LexAmazon Lex is a platform for building conversational interfaces into any application using voice and text",1
"Job043","Amazon Lex provides the advanced deep learning functionalities of automatic speech recognition ASR for converting speech to text and natural language understanding NLU to recognize the intent of the text to enable you to build applications with highly engaging user experiences and lifelike conversational interactions",0
"Job044","With Amazon Lex the same deep learning technologies that power Amazon Alexa are now available to any developer enabling you to quickly and easily build sophisticated natural language conversational bots “chatbots”What is special about the teamCome be a part of a wellbalanced team with diverse experience that is making strides in evolving the conversational platform for Amazon Web Services AWS",0
"Job045","The team a tightknit group operates in a fastpaced and fun environment where accuracy timeliness quality and security form the operative cornerstones",0
"Job046","As owners of the entire lifecycle team members participate in a shared customer resolution program to delight customers",0
"Job047","Additionally the team has collaborative leaders in various roles  product development natural language science and engineering management who form the critical support structure for delivering innovative featuresWhat will I work onCome work on new features as well as greenfield projects where you can make a significant positive impact on a community of international customers",0
"Job048","As a Software Development Engineer you should have a passion for delivery drive for excellence and penchant for quality",1
"Job049","You will practice development practices such as load testing and continuous deployment while solving technical challenges in system design distributed computing algorithms and backend services",0
"Job050","Have you ever wondered what it takes to build intelligence into enterprise systems so that we can enable near humanlike conversations with our systems",0
"Job051","Come join Amazon Lex where we are working on stateoftheart conversational approachesWhy Amazon LexAmazon Lex is a platform for building conversational interfaces into any application using voice and text",1
"Job052","Amazon Lex provides the advanced deep learning functionalities of automatic speech recognition ASR for converting speech to text and natural language understanding NLU to recognize the intent of the text to enable you to build applications with highly engaging user experiences and lifelike conversational interactions",0
"Job053","With Amazon Lex the same deep learning technologies that power Amazon Alexa are now available to any developer enabling you to quickly and easily build sophisticated natural language conversational bots “chatbots”What is special about the teamCome be a part of a wellbalanced team with diverse experience that is making strides in evolving the conversational platform for Amazon Web Services AWS",0
"Job054","The team a tightknit group operates in a fastpaced and fun environment where accuracy timeliness quality and security form the operative cornerstones",0
"Job055","As owners of the entire lifecycle team members participate in a shared customer resolution program to delight customers",0
"Job056","Additionally the team has collaborative leaders in various roles  product development natural language science and engineering management who form the critical support structure for delivering innovative featuresWhat will I work onCome work on new features as well as greenfield projects where you can make a significant positive impact on a community of international customers",0
"Job057","As a Software Development Engineer you should have a passion for delivery drive for excellence and penchant for quality",1
