"ID","text","sensibile"
"Politics001","My latimesopinion oped on historic California Senate race First time an elected woman senator succeeds anothernhttpstcocbjQTK0Q1V",0
"Politics002","Senate Wisconsin Senate Preview Johnson vs Feingold The Sequel httpstcoXHq4p0V4El SenRonJohnson",0
"Politics003","If Rubio Wins and Trump Loses in Florida HillaryClinton Senate RepublicanPrimary Senaterace Miami httpstcozIeNEcVnMO",0
"Politics004","Senate Wisconsin Senate Preview Johnson vs Feingold The Sequel httpstcoVSd6arFMe5 SenRonJohnson NTA•NEWS",0
"Politics005","bob day is an honest  person   senate patterson  a loss to the senate",1
"Politics006","Make Republicans PayAPricen 💙🇺🇸VoteBLUE🔃theBallot🇺🇸💙n Congress Senate FlipItDem n    ImWithHer VoteHillary… httpstcopC8I2pemse",1
"Politics007","Shes done America Please vote for realDonaldTrump MAGA for all of us httpstcoZ9nXcBaK9D",1
"Politics008","Illinois Senate StrongerTogether httpstcoNxyi2PptNA",0
"Politics009","Senate Sen Mark Warner to speak at ODU for Veterans Day Event httpstcoO1cftpz59e MarkWarner",0
"Politics010","Senate Sen Mark Warner to speak at ODU for Veterans Day Event httpstcoG6twWYUnQf MarkWarner NTA•NEWS",0
"Politics011","TammyforIL Sen Kirk has failed the ppl of IL Tammy will NOT TammyDuckworth Senate",0
"Politics012","Hattip to PeterRobinson for adding my Senate take to Ricochet Join the site  best investment youll makenhttpstco8TSSZe5UjX",0
"Politics013","OHIO VoteHillary OHHillYes ComeOnn💙🇺🇸VoteBLUE🔃theBallot🇺🇸💙Congress UndecidedVoters Senaten🙌❤… httpstcondwomSahdO",1
"Politics014","Senate Russia will face IMMEDIATE CONSEQUENCES if Moscow disrupts US election senator warns httpstcoaHmxuVUTiR MarcoRubio",0
"Politics015","Owwww Bet Putin is shivering in his boots httpstco2xM8RHnWWN",0
"Politics016","Senate US Senator Claire McCaskill Theres no excuse to check out of democracy ahead of Election 2016 httpstcoLUS90eu9XT clairecmc",0
"Politics017","Senate Russia will face IMMEDIATE CONSEQUENCES if Moscow disrupts US election senator warns httpstcohcnnicaaWM MarcoRubio NTA•NEWS",0
"Politics018","Senate US Senator Claire McCaskill Theres no excuse to check out of democracy ahead of Election 2016 httpstcofDw1bxcWn8 clairecm…",0
"Politics019","Lets make hist by winning senate amp make SenatorSchumer 1st Jewish MajorityLeader vote DeborahRossNC  NorthCarolina StrongerTogether",1
"Politics020","Buhari To Declare NASS AntiCorruption Seminar Open httpstco43SoilJymd NASS Nigeria PresidentBuhari Senate",0
"Politics021","ASISAbuja2016 ReportersAtLarge Buhari To Declare NASS AntiCorruption Seminar Open httpstcool7kEXG1Si NAS… httpstcojV1PuM5UYp",0
"Politics022","Its Election Day 2016 EST VOTE ClintonKaine2016 Senate Democrats BlueWave2016 ForwardTogether LoveTrumpsHate httpstcospimPvLY0g",1
"Politics023","1171983A bomb explodes in the north wing of the USCapitol httpstcoyVGJtRrIHh Senate ResistanceConspiracy httpstcoeFMjGLsPMh",0
"Politics024","I voted early in maryland  I voted for ChrisVanHollen for the Senate  Vote on Tuesday Dont forget the… httpstcoaDeosi0REt",1
"Politics025","Coalitions backpackertax plans in disarray as Senate opposition firms ABCRural httpstcor0yc2uiZEP auspol",0
"Politics026","Even if Hillary wins nothing will change unless the Democrats take back the Senate VOTE",0
"Politics027","Oh God I hope so We need a DEM SENATE httpstcoQNDftsKvlN",1
"Politics028","so since MY GOAL for you all I will now EXPLAIN THE PROCESS so the 1st guy you need to know about isPRESIDENT of the SENATE",0
"Politics029","ElectionPredictions  Elections Senate Predictions on all of money Intrade 2… httpstcoIJayyl8xwX httpstconK6t09sVX0",0
"Politics030","ElectionPredictions 2016 Us Senate Elections Predictions Buy things about Election … httpstcoIJayyl8xwX httpstcoibWf68eP0c",0
"Politics031","ElectionPredictions 2014 Senate Election Predictions Map Buy things about Election … httpstcoIJayyl8xwX httpstco2eoC5OYxsy",0
"Politics032","ElectionPredictions 2016 Senate Election Predictions Map  Autos Post Buy things … httpstcoIJayyl8xwX httpstco7dPoacnvX7",0
"Politics033","Senate Republicans are acting as though the Supreme Court is the property of the Republican PartynhttpstcoqF4MRbrkPenNot so",0
"Politics034","Im not sure if I have any left leaning friends in North Carolina but if I do PLEASE get to the polls Senate Vote",0
"Politics035","PREZ of senate SHALL in PRESENCE of HOUSEand SENATEopen ALLCERTIFICATES and VOTES SHALL THEN stand up and BECOUNTED person HAVING",0
"Politics036","Lets go Democrats we need Senate amp House we can do it We need 2 Vote UpampDown ballot Democrats We have moore… httpstcoWBUGkV3b3s",1
"Politics037","Senate Barbara Boxer is about to be replaced in Washington — will it matter httpstco30Lzp9r0Yh SenatorBoxer",0
"Politics038","Senate Barbara Boxer is about to be replaced in Washington — will it matter httpstcoQKKDhWdLWd SenatorBoxer NTA•NEWS",0
"Politics039","Vote if you havent yet for Pres Elect HillaryClinton and give her a thoughtfulconstructive Blue Senate to work with ClintonKaine",1
"Politics040","NOEXCUSES VOTE2016nHillaryClintonforpresident ImWitHer PresidentialElection Senate HouseofRepresentatives",1
"Politics041","2016 Budget Senate expresses shock over release of only N74m for job creation httpstcoveqglsf12U nigeria",0
"Politics042","Senate Feingold Johnson in Oshkosh on final full day of campaign httpstcoX9wc4jpD4R SenRonJohnson",0
"Politics043","There is one wild scenario where Congress could pick the next President and one contender could be a Mormon named httpstcoBSST1gY61U
",1
"Politics044","HillaryClinton We will use our NASTY FEET to VOTE tomorrownAND We MUST give OUR President a Congress WILLING TO DO THEIR JOBSVoteALLBlue",1
"Politics045","Clinton buying votes with celebrity concerts  She cant do this without celebrities dragging her across finish No… httpstcoF51n2RQrIn",1
"Politics046","MrRobertFlores Trump lied to Congress that he wasnt meeting with any Indian casino executives when documents amp sworn statements show he was",1
"Politics047","VOTE BLUEa red Congress will just be obstruction again
",1
"Politics048","Dozens amp dozens amp dozens of reasons not to vote for Trump being Tweeted today by top reporter kurteichenwald sta… httpstcosqos4DDTWV",1
"Politics049","HillaryClinton if you believe Christianity has to change that lying to Congress is ok and that people shouldnt be able to own guns",1
"Politics050","Please vote Take back Congress from those lazy ass Republicans And Democrats let us be better than just fundraising Public service first",1
"Politics051","V🔵TE🔹BLUE✅MUST WINnMI02🔷Dennis MURPHYn4 CONGRESS🔹FlipItDemnDMurphyCongressnFLIP🔷HOUSE🔷BLUEnMadame POTUS🔹Dem Majo… httpstcotvyr6c4gTe",1
"Politics052","If Hillary wins we will have the first Jewish leader in Congress I love Jewish leaders Just sayin",1
"Politics053","Senate McCain Kirkpatrick make final push for support for Senate httpstcoG0FAS4Hb4n SenJohnMcCain NTA•NEWS",0
"Politics054","Senate McCain disappointed over Defense Department Lockheed Martin talks over jet fighter contract httpstcos2JIGqrhg4 SenJohnMcCain…",0
"Politics055","Alaska Voters decide US Senate House legislative httpstcovALhr5FkfM httpstcoQw2lZZHD96 httpstco2wuNJL82q5",0
"Politics056","Most definitely httpstcoOJ2J920P5j",0
"Politics057","POLITICO says Democrats are on the BRINK OF TAKING BACK THE SENATE Lets make it happen VoteBLUE HILLARY SENATE HOUSE STATE LOCAL",1
"Politics058","US POLITICS amp POLICIES is out httpstcosgbPvdpqsh usa Stories via LBTYblog AlexiMostrous capitolreport election2016 senate",0
"Politics059","Senate Sessions stumps for Trump rises on national stage httpstcoOdUbHznJzP SenatorSessions",0
"Politics060","Senate Franken hits the road for Clinton in Minnesota httpstco6EVOXVxstw AlFranken",0
"Politics061","Senate Sessions stumps for Trump rises on national stage httpstcoddUR3K4Pvw SenatorSessions NTA•NEWS",0
"Politics062","Senate Franken hits the road for Clinton in Minnesota httpstcoIXFL88szav AlFranken NTA•NEWS",0
"Politics063","Election2016  SenatenBattle for Control of the Senate Nine Races to WatchnhttpstcoHvNtyMX6QInLifeZette tcot PJNET",0
"Politics064","Vote KathyforMD TODAY MARYLANDnMDsen ntcot ccot sgp httpstcohIryvprElo",1
"Politics065","Senate Sen Debbie Stabenow fires up GVSU crowd of 4600 for Clinton httpstco4WqryNgSR1 SenStabenow",0
"Politics066","Senate Kaine campaigns with Biden at GMU before closing with Richmond rally httpstcoAmeRbf2MKr TimKaine",0
"Politics067","Senate Sen Debbie Stabenow fires up GVSU crowd of 4600 for Clinton httpstcoRbLCjswX8h SenStabenow NTA•NEWS",0
"Politics068","Senate Kaine campaigns with Biden at GMU before closing with Richmond rally httpstcow8aqQ9N1HS TimKaine NTA•NEWS",0
"Politics069","Good luck 2 the 191 lgbt candidates up for election 2 the US Senate amp US House and other offices  today USElections2016 LGBTconstruct",1
"Politics070","realDonaldTrump FRAUD FRAUD FRAUD ELECTIONS ARE RIGGED httpstcoA9UMbUYJv8 FBI sputnik AFP NYT MAGA… httpstcoktymjGmVwx",1
"Politics071","The latest Bostonred Times httpstco4WdoXGHys7 Thanks to RepMcGovern vlramirez12 ProgressMO senate election2016",0
"Politics072","ImVotingBecause I care about donuts httpstcoHUCSEQtG9o ADHDvotes  senate congress",1
"Politics073","WakeUpAmericaTrump2016VeteransHialeahMiamiMakeAmericaGreatAgaintcotMAGASENATENYTCubaBREXIT… httpstcoyLnWLgrqfO",1
"Politics074","We should learn from the past and prepare for the futurennTheUnofficialGazette Bills Laws Senate httpstcoW0giKl4uPd",1
"Politics075","httpstcogHVsYKHddP 1Corinthians12731 Bible SCOTUS Senate Congress ISLAM College Edu Hillary TRUMP httpstcoMxuqyt8SNs",0
"Politics076","Ive listened to each of PaulineHansonOzs senate contributions and they are ABSOLUTELY INCOHERENT Fuck you Qld auspol qldpol",0
"Politics077","Murkowski seeks to fend off crowded Field in Senate Race httpstcovALhr5FkfM httpstcomPIee6riSv",0
"Politics078","Last FiveThirtyEights Forecast gives GOP a 493 chance of keeping control of the Senate httpstco5RZU8tzog2 Election2016 GOTV",0
"Politics079","News from Jim Oberweis  For  US Senate  Illinois is out Lets not regret our vote fire Dick Durbin httpstconAdwkaJZ2l teaparty",1
"Politics080","Dont forget to go vote todayElection2016 Trump Clinton SupremeCourt Obamacare Taxes House Senate DraintheSwamp",0
"Politics081","Senate Charles Schumer faces challenge from littleknown lawyer httpstcoGX6Rv9DHwD SenSchumer",0
"Politics082","Hey friends Its ItsElectionDay lets get something done vote Hillary amp Dem straight d OK em the Senate we cant Cong but we can Sen",1
"Politics083","Which Candidate Will Help Us Pass Mental Health Reform RepTimMurphyWho Has YOUR VoteNAMICommunicate… httpstcoLZi9dsdLvA",1
"Politics084","Lets change the Senate Dem amp get Hillary in the WH lets get something done FosterCampbellForLouisiana httpstco8PGSbXATUM",0
"Politics085","Senate Charles Schumer faces challenge from littleknown lawyer httpstcohlQNXuZOxj SenSchumer NTA•NEWS",0
"Politics086","TGowdySC JasonChaffetz realDonaldTrump RedNationRising DNCleak2 hillaryforprison WorldPeace Senate… httpstcoe60iloDJVd",0
"Politics087","Senate bemoans forex loss over EU ban on beans export httpstco3tJxA8nwLi nigeria europe europeanunion",0
"Politics088","ImVotingBecause Our Seriously Mentally Ill Are Dying For Lack Of Hospitals amp Care Make Sure YOUR Senator Votes To… httpstco8GwU2vCUBO",0
"Politics089","US POLITICS amp POLICIES is out httpstcosgbPvdpqsh usa senate",0
"Politics090","senate sex scandal 17yr porn httpstcodQRd9vV90i",0
"Politics091","HuffPost predicts Democrats will gain control of the Senate based on majority 66 of simulations httpstco8mjf60fM3N Election2016",0
"Politics092","Senate Ohio Senate Projection Republican Rob Portman To Win In A Landslide httpstcoKyp0IU5BCP SenRobPortman",0
"Politics093","Senate Rob Portman 5 Fast Facts You Need to Know httpstcozoUZuk5BlW SenRobPortman",0
"Politics094","Senate Portman tries to keep Ohio US Senate seat on Republican side httpstco6ccwxjZ3WD SenRobPortman",0
"Politics095","HuffPost Forecasts Hillary Clinton Will Win With 323 Electoral Votes Senate httpstcoc1Ct9jKwnd httpstcoDiPCUcjf2u",0
"Politics096","WakeUpAmericaTrump2016VeteransHialeahMiamiDebateSenateflsentcotMAGASputnikNYTCNNCuba… httpstcoFEdQfP1AJu",1
"Politics097","Senate Ohio Senate Projection Republican Rob Portman To Win In A Landslide httpstcoptSLg4hf8m SenRobPortman NTA•NEWS",0
"Politics098","Senate Rob Portman 5 Fast Facts You Need to Know httpstcoQLZwjmkfkI SenRobPortman NTA•NEWS",0
"Politics099","Senate Portman tries to keep Ohio US Senate seat on Republican side httpstcocHJVIX6Lvm SenRobPortman NTA•NEWS",0
"Politics100","Members of the Jury What Say You HillaryClinton Senate DavidBossie president AndyMcCarthy httpstcoLgeVNoRsJD",0
"Politics101","senate",0
"Politics102","The latest The NumberCrunchers Daily httpstcoJEeSDYqKR5 Thanks to bobmackin innovation senate",0
"Politics103","COMING UP J Altic ballotpedia on Ballots byamberphillips on Senate races amp PAStateDept IowaSOS amp… httpstcopbVfS0EGqp",0
"Politics104","On 530 on News8Daybreak MarcusMoorewfaa explains what Senate races to watch today  amp what they mean for demsGOP Vote2016",0
"Politics105","Reminder we dont have to just stop Trump amp his altright despicables We have to give Hillary the Senate… httpstcoNnRO2JfeQf",1
"Politics106","News Observer Isakson seeks third Senate term hoping to avoid runoff  Georgians decide Tuesday whether httpstcoN3xheZJoLD",0
"Politics107","Discussing PanamaPapersInquiriesBill2016nStandingCommitteeOnLawAndJusticenSenate Islamabad n08112016 httpstcov3h3TghvlE",0
"Politics108","Mucking Horse Manure nn aka the electionnnvote election election2016 president senate… httpstcoS4tvWXDAXQ",0
"Politics109","Senate turnbull senbrandis Laurel amp Hardy by cathywilcox1 httpstcoTxYqBX4Vpy httpstco1d0spIbQsQ auspol TheDrum",0
"Politics110","AHEAD AT 5  She blasted him for supporting Trump He blasted her for supporting Obamacare A look back at the… httpstcoK07ueKzuPG",0
