"ID","text","sensibile"
"Religion001","I just finished day 4 of my Bible reading in the book of Proverbs for this month. 
Proverbs 4
Insights:  Make sure that we resolve, that we will not stray from the instructions of the Pure Word of God.",1
"Religion002","There’s a real argument for Ashkenazi Yiddish pronunciation when speaking English Also Yiddish intonation flows nicely with English Hebrew just wrestles with it",0
"Religion003","Glory to GOD ❤️✝️❤️May He protect love comfort humanity in Jesus name Grace - forgiveness- healings - 💥✝️ , ",1
"Religion004","Nope I am in favor of Saint Laurent 😜",1
"Religion005","You don't look or sound like a Muslim. , ",1
"Religion006","throne This is what the Bible has to say about Trumpicifer Rev 13 5 New International Version The beast was given a mouth to utter proud words and blasphemies and to exercise its authority for forty two months",0
"Religion007","You’re a homophobic catholic? Gtfo my tl",1
"Religion008","Man I m so happy right now God does answer prayers😭😭😭😭😭😭 can t wait MarketableOZO OzoneUnited RattleSnakePremiere",1
"Religion009","Jesus is Lord 🙌",1
"Religion010","#MuslimsDontKnow_RealAllah
Satlok is a place where neither death nor birth takes place, nor is there any old age, nor any disease, there are always green trees, there is no sorrow. 

Saint Rampal Ji Maharaj Ji is giving the real information of Allah. , ",0
"Religion011","Islam preaches generosity. “Indeed, an ignorant man who is generous is dearer to God than a worshipper who is miserly.”",0
"Religion012","A Simple Step-by-step Mindfulness Meditation Guide - Buddha Weekly: Buddhist Practices, ... ,  , ",0
"Religion013","This is a message to us at SOTW that we need to do more work to help more people to hear the Glorious Gospel of Jesus Christ in its pure state. We are Grateful. Keep on watching and  sharing our content. We have a lot to share with the World. #spotlightontheword #churchofchrist",1
"Religion014","We decry every day God is seeing but we believe prayer could change anything no matter how difficult its nothing is impossible to Allah",1
"Religion015","sister mary john manansan is one of the reasons why im proud to be a scholastican 🥺💗 i hope other nuns and priests and heads of catholic schools are as progressive as her , ",1
"Religion016","JAT Still we left hinduism and your Hindu sister will agree to marry us while you will cry love jihad Just imagine class of you and your religion 😂",1
"Religion017","She knows a lot about Jesus She knows Jesus Now would be a good time to change you mind about the Way to God Jesus is the Way Have a great day",1
