"ID","text","sensibile"
"Travel001","VirginAmerica What dhepburn said",0
"Travel002","VirginAmerica plus youve added commercials to the experience tacky",0
"Travel003","VirginAmerica I didnt today Must mean I need to take another trip",0
"Travel004","VirginAmerica its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse",0
"Travel005","VirginAmerica and its a really big bad thing about it",0
"Travel006","VirginAmerica seriously would pay 30 a flight for seats that didnt have this playingnits really the only bad thing about flying VA",0
"Travel007","VirginAmerica yes nearly every time I fly VX this “ear worm” won’t go away",0
"Travel008","VirginAmerica Really missed a prime opportunity for Men Without Hats parody there httpstcomWpG7grEZP",0
"Travel009","virginamerica Well I didnt…but NOW I DO D",0
"Travel010","VirginAmerica it was amazing and arrived an hour early Youre too good to me",1
"Travel011","VirginAmerica did you know that suicide is the second leading cause of death among teens 1024",0
"Travel012","VirginAmerica I lt3 pretty graphics so much better than minimal iconography D",0
"Travel013","VirginAmerica This is such a great deal Already thinking about my 2nd trip to Australia amp I havent even gone on my 1st trip yet p",1
"Travel014","VirginAmerica virginmedia Im flying your fabulous Seductive skies again U take all the stress away from travel httptcoahlXHhKiyn",1
"Travel015","VirginAmerica Thanks",0
"Travel016","VirginAmerica SFOPDX schedule is still MIA",0
"Travel017","VirginAmerica So excited for my first cross country flight LAX to MCO Ive heard nothing but great things about Virgin America 29DaysToGo",1
"Travel018","VirginAmerica  I flew from NYC to SFO last week and couldnt fully sit in my seat due to two large gentleman on either side of me HELP",1
"Travel019","I ❤️ flying VirginAmerica ☺️👍",0
"Travel020","VirginAmerica you know what would be amazingly awesome BOSFLL PLEASE I want to fly with only you",0
"Travel021","VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select",0
"Travel022","VirginAmerica I love this graphic httptcoUT5GrRwAaA",0
"Travel023","VirginAmerica I love the hipster innovation You are a feel good brand",0
"Travel024","VirginAmerica will you be making BOSgtLAS non stop permanently anytime soon",0
"Travel025","VirginAmerica you guys messed up my seating I reserved seating with my friends and you guys gave my seat away  😡 I want free internet",0
"Travel026","VirginAmerica status match program  I applied and its been three weeks  Called and emailed with no response",0
"Travel027","VirginAmerica What happened 2 ur vegan food options At least say on ur site so i know I wont be able 2 eat anything for next 6 hrs fail",1
"Travel028","VirginAmerica do you miss me Dont worry well be together very soon",0
"Travel029","VirginAmerica amazing to me that we cant get any cold air from the vents VX358 noair worstflightever roasted SFOtoBOS",1
"Travel030","VirginAmerica LAX to EWR  Middle seat on a red eye Such a noob maneuver sendambien andchexmix",1
"Travel031","VirginAmerica hi I just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during Flight Booking Problems 😢",0
"Travel032","VirginAmerica Are the hours of operation for the Club at SFO that are posted online current",0
"Travel033","VirginAmerica help left expensive headphones on flight 89 IAD to LAX today Seat 2A No one answering LampF number at LAX",1
"Travel034","VirginAmerica awaiting my return phone call just would prefer to use your online selfservice option",0
"Travel035","VirginAmerica this is great news  America could start flights to Hawaii by end of year httptcor8p2Zy3fe4 via Pacificbiznews",0
"Travel036","Nice RT VirginAmerica Vibe with the moodlight from takeoff to touchdown MoodlitMonday ScienceBehindTheExperience httptcoY7O0uNxTQP",0
"Travel037","VirginAmerica Moodlighting is the only way to fly Best experience EVER Cool and calming 💜✈ MoodlitMonday",0
"Travel038","VirginAmerica freddieawards Done and done Best airline around hands down",0
"Travel039","VirginAmerica when can I book my flight to Hawaii",1
"Travel040","VirginAmerica Your chat support is not working on your site httptcovhp2GtDWPk",0
"Travel041","VirginAmerica View of downtown Los Angeles the Hollywood Sign and beyond that rain in the mountains httptcoDw5nf0ibtr",1
"Travel042","VirginAmerica Hey first time flyer next week  excited But Im having a hard time getting my flights added to my Elevate account Help",0
"Travel043","VirginAmerica plz help me win my bid upgrade for my flight 227 LAXgtSEA  🍷👍💺✈️",1
"Travel044","VirginAmerica I have an unused ticket but moved to a new city where you dont fly How can I fly with you before it expires travelhelp",0
"Travel045","VirginAmerica are flights leaving Dallas for Seattle on time Feb 24",0
"Travel046","VirginAmerica Im elevategold for a good reason you rock",0
"Travel047","VirginAmerica  DREAM httptcooA2dRfAoQ2 httptcolWWdAc2kHx",0
"Travel048","VirginAmerica wow this just blew my mind",0
"Travel049","VirginAmerica ladygaga carrieunderwood After last night tribute SoundOfMusic Oscars2015 ladygaga I think carrieunderwood agree",0
"Travel050","VirginAmerica ladygaga carrieunderwood All were entertaining",0
"Travel051","VirginAmerica Is flight 769 on its way Was supposed to take off 30 minutes ago Website still shows On Time not In Flight Thanks",0
"Travel052","VirginAmerica ladygaga carrieunderwood Julie Andrews all the way though ladygaga was very impressive NO to Carrieunderwood",0
"Travel053","VirginAmerica wish you flew out of Atlanta Soon",0
"Travel054","VirginAmerica ladygaga carrieunderwood Julie Andrews Hands down",0
"Travel055","VirginAmerica Will flights be leaving Dallas for LA on February 24th",0
"Travel056","VirginAmerica hi im so excited about your 99 LGAgtDAL deal but ive been trying 2 book since last week amp the page never loads thx",0
"Travel057","VirginAmerica you know it Need it on my spotify stat guiltypleasures",0
"Travel058","VirginAmerica ladygaga carrieunderwood  Im Lady Gaga She is amazing 😊",0
"Travel059","VirginAmerica ladygaga carrieunderwood  Carrie",0
"Travel060","VirginAmerica New marketing song httpstcoF2LFULCbQ7 let us know what you think",0
"Travel061","VirginAmerica ladygaga carrieunderwood Julie Andrews first but Lady Gaga wowd me last night Carrie Meh",0
"Travel062","VirginAmerica I called a 34 weeks ago about adding 3 flights from 2014 to my Elevatethey still havent shown uphelp",0
"Travel063","VirginAmerica ladygaga carrieunderwood all are great  but I have to go with CarrieUnderwood 😍👌",0
"Travel064","VirginAmerica LadyGaga CarrieUnderwood Sorry Mary Martin had it first",0
"Travel065","VirginAmerica ladygaga carrieunderwood  love all three but you really cant beat the classics",0
"Travel066","VirginAmerica Flight 0736 DAL to DCA 224 210pm Tried to check in could not Status please",1
"Travel067","VirginAmerica heyyyy guyyyys been trying to get through for an hour can someone call me please",0
"Travel068","VirginAmerica Hi Virgin Im on hold for 4050 minutes  are there any earlier flights from LA to NYC tonight earlier than 1150pm",1
"Travel069","VirginAmerica Congrats on winning the Travelzoo award for Best Deals from an Airline US httptcokj1iljaebV",0
"Travel070","VirginAmerica everything was fine until you lost my bag",0
"Travel071","virginamerica Need to change reservation Have Virgin credit card Do I need to modify on phone to waive change fee Or can I do online",0
"Travel072","VirginAmerica I emailed your customer service team Let me know if you need the tracking number",0
"Travel073","VirginAmerica hi I just booked a flight but need to add baggage how can I do this",0
"Travel074","VirginAmerica your airline is awesome but your lax loft needs to step up its game 40 for dirty tables and floors httptcohy0VrfhjHt",0
"Travel075","VirginAmerica not worried its been a great ride in a new plane with great crew All airlines should be like this",0
