"ID","text"
"Health00001","When I remember her I feel down"
"Health00002","When I carry heavy things I feel like breaking my back"
"Health00003","there is too much pain when i move my arm"
"Health00004","My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected."
"Health00005","My muscles in my lower back are aching"
"Health00006","i have muscle pain that my back
I Have Muscle Pain at my back leg"
"Health00007","I have muscle pain in my left leg"
"Health00008","I have cut my finger because of playing football and I have to apply pain relief cream but it does not help"
"Health00009","I have acne in my face and other problems in my derma like itching"
"Health00010","I have a strange rash on my arm"
"Health00011","I have a sharp pain in my lower stomach."
"Health00012","i have a knee pain when i walk a lot"
"Health00013","dr. I feel a strange and powerful pain inside my rib cage"
"Health00014","Don't cry"
"Health00015","I have for dia"
"Health00016","I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down."
"Health00017","i feel that it's hard to breath for me specially after running or making any effort"
"Health00018","I read a book for along time and when I finished reading I feel head ache"
"Health00019","i cant sleep because of cold"
"Health00020","My infected wound cause fever"
"Health00021","I lose a lot of my hair"
"Health00022","i feel dizzy after severe diarrhea"
"Health00023","I feel a pain in my back"
"Health00024","Laceration, rupture or opening in the skin"
"Health00025","My back hurts me and i can't bend it or walk"
"Health00026","My head hurts whenever I try to do something."
"Health00027","I have dark spots on my skin"
"Health00028","I feel a sharp pain in my stomach"
"Health00029","I can't do anything I feel a weak in my body"
"Health00030","I have cloudy eyes"
"Health00031","I have a back pain since I turned 70 years old."
"Health00032","I tried to put my glasses to see more clear but cant find any change"
"Health00033","I feel deep Tingling when I touch Acne followed by bad sensation"
"Health00034","My acne gets worse when it is hot"
"Health00035","Sometimes I feel like a claw on my chest that leaves me breathless."
"Health00036","my abdominal muscles have great pain since i was at GYM"
"Health00037","My back got injured while i was lifting at the gym"
"Health00038","my ankle is hurting me"
"Health00039","I think my wound is infected"
"Health00040","i feel pain in my knee"
"Health00041","My skin is very dry and peeling."
"Health00042","i can't move my shoulder because of pain"
"Health00043","when i wake up in the morning i feel dizzy"
"Health00044","My hair is falling out in huge amount"
"Health00045","I have a sharp pain in my neck"
"Health00046","There is pain in the muscles I do not know caused"
"Health00047","I have a problem in the expiration because i have abronchial asthma"
"Health00048","Every time I make an effort, I felt dizzy."
"Health00049","I have a powerful pain inside my neck"
"Health00050","I have a pain internal"
"Health00051","chronic disease of hair follicles and sebaceous glands."
"Health00052","I feel a huge emotional pain after I broke up with my girlfriend."
"Health00053","When I stand up too quickly I start to feel dizzy and light-headed"
"Health00054","I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it."
"Health00055","I have a feeling like my whole body is complaining"
"Health00056","My knee hurts when I play squash"
"Health00057","i can't see well"
"Health00058","I tried alot of cream but i still feel the same skin problem"
"Health00059","It feels like someone stuck a knife into my shoulder"
"Health00060","I feel a burning sensation in my shoulder muscle."
"Health00061","I cut my foot at the pool and it breaks open every day when I walk on it."
"Health00062","My knee catches and hurts when I first stand up after sitting."
"Health00063","I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better."
"Health00064","I feel pain in my shoulders when I write on the keyboard."
"Health00065","i have a problem in seeing objects it is too difficult to see"
