"ID","text",,,,
"Racism0001","@KENDALLN0TFOUND many people say poc or african american rather than calling us black and it's annoying",,,,
"Racism0002","my whole life i have never felt american enough or african enough. it’s annoying having to prove my identity",,,,
"Racism0003","Oh my tweet wasn’t about the Islam part I just found it annoying that he said “we” cause he’s most def not African American https://t.co/R9JKKYJulX",,,,
"Racism0004","I love my African American father he is litterally perfect but the nigga is annoying on god",,,,
"Racism0005","Why do white ppl always clarify where they grandpas and parents from
They b like ""i'm american, but my family came from germany, italy, australia, africa, and I have a 0,1% of latin in my veins""
NOBODY CAREEEESSS shut the fuck up ur annoying as fuuuuuck damn",,,,
"Racism0006","Correct me if I’m wrong but I feel like some people in the african American minorities feel the need to “opress” mixed race people into a b&amp;w situation to feel a sense of superiority when the world has clearly more than 1 race when mixed arent one of those. It’s honestly annoying https://t.co/5d5KHyq3w9",,,,
"Racism0007","Imma bout to just mute the words African, Nigerian and African American cause these dumbass diaspora wars juvenile and annoying asf lmao",,,,
"Racism0008","@eazyseph Yeah that's my issue though. I got called oreo as a kid but my parents are African, not African American. I was born in Africa. Black is a race to me. African American is a culture to me. So the way people conflate racial appearance and identity is annoying but I get it.",,,,
"Racism0009","This argument is absolutely bananas, but even more annoying is that when you scroll ppl are on this person dick abt being able to make this shitty argument in English. Also, Black people are not inherently African-American. It should be “Black Japanese.” https://t.co/BSAC2ZUr2N",,,,
"Racism0010","@Visvavasu honestly i will kill the next (non-you) person to use the phrase ""singapore of africa"" and the fact this white american man presumes to know ""what africa needs"" is its own kind of annoying",,,,
"Racism0011","The rest of North Africa is Russian and khalijy is less annoying American accent",,,,
"Racism0012","White bitches with 2 seconds of African-American in them are the most annoying, cringe people out there. Please shut the fuck up we do not care that your great great great great great grandfather was half black.",,,,
"Racism0013","For anyone who’s wondering since I seem to be the only one on Twitter who’s constantly asked if I’m black...yes I am BLACK. My dad is AFRO-LATINO AND MY MOM IS A DARKSIN AFRICAN-AMERICAN WOMAN. STOP ASSUMING IM NOT BLACK ITS SO ANNOYING AND THEN SOME OF YALL SAY IM LYING",,,,
"Racism0014","This True Kitchen mess is funny but the demonization of twerking, especially “African american” forms of it, is really getting annoying.",,,,
"Racism0015","Yeah thats fucking racistes u Don’t even see black people in Spain like I’m black and it’s fucking annoying if you are not African American don’t say the fucking N word https://t.co/QDlWn1WivO",,,,
"Racism0016","@Luisfavicii I'm African American, and I'm an asshole, so that's pretty accurate 😂",,,,
"Racism0017","These are #AmericanPatriots who died protecting the constitution not a racist asshole #Newt who calls @staceyabrams a thief for registering African American voters. @newtgingrich was a draft dodger too who can’t fathom men and women in the photo. https://t.co/tabNBlSWtY https://t.co/7PSATUDiDB",,,,
"Racism0018","@donb6c @TIME Well asshole, as an African-American I'm certainly not mad at Time Magazine honoring this wonderful kid. Since she's a person of color, it's all good.",,,,
"Racism0019","@Andrew__Grant @tburke6 @mschlapp @RichardGrenell Saying the first African American president isnt legitimate because of a bullshit conspiracy that he was born in africa with no basis is racist
2. Yes those cages were built under Obama but he never purposely separated parents from their children just to be an asshole like trump",,,,
"Racism0020","@MariaBartiromo tell your political pimp @realDonaldTrump that JOE BIDEN got more African American votes because trump is a racist bastard and Black America said NO MORE. TRUMP LOST. HE LOST BECAUSE HE FAILED TO FIGHT #COVID19 AND HE HATES BLACK PEOPLE. MARIA YOU'RE STUPID.",,,,
"Racism0021","@rayofliteindark @brat2381 1/ No I know what you mean, I understand the shit that has happened to people of color, both African American and Latino alike, this racist asshole has caused a lot of issues, and a lot of problems. He is the primary cause of all racial tension and divide in this country.",,,,
"Racism0022","Me, a blind, disabled black person was minding my African American business and walking my dog. Jake Paul came up behind me, roundhouse kicked me in the throat, sucker punched my dog in the asshole, and called me a cotton picking, boot-licking, massa loving, field slave 😔 https://t.co/lqf1WTgGge",,,,
"Racism0023","#EdDwightJr  Was Going to Be the First African American in Space. Until He Wasn't.
https://t.co/BiqXr86nEb
#EdwardJDwightJr #engineering #USAirForce #AerospaceResearchPilotSchool #ChuckYaeger #astronauts #artists #CivilRights #racism #discrimination #BlackTwitter #sciencetwitter",,,,
