"ID","text",,,
"Religion0001","@madina_photos @anweriqra709 @HumaZaibMalik2 @syeda_SG @itx_Nazish @SBushraIqbal @Ahmad1Amna @sadafsheriff35 @rubiisays @SabaNoor1045 May Allah call all of us to Madinah Aameen 💞",,,
"Religion0002","7 Men of infallible proof have great understanding 

8 Men of infallible proof are Humble-The bible says Jesus was humble even until death. 
  Humble yourself in the sight of the lord and he will lift you up. (Luke 3:16 and Phillipians 2:7-8).",,,
"Religion0003","Never lose hope. Never give up. Because ALLAH is always with you, that’s enough.",,,
"Religion0004","Jesus understood the times on earth that he was never found with any faults. 
*Men who understand the times know what to do at every point in time.",,,
"Religion0005","@niceupdog jesus christ i can't even tell what they're trying to say but this is disgusting",,,
"Religion0006","#USA #Jew LED Waterproof Christmas Light https://t.co/CcotWuMwHg https://t.co/wILycJbP68",,,
"Religion0007","@erinobean @TheSimCommunity Jesus christ Erin, calm down. It's just some pixels hun",,,
"Religion0008","Note: Whatever you are passing through in life today always know Jesus has past through it too.
2 knowledge of Gods Word -The bible tells us to meditate on its Word day and night and observe to do all that is written in it.",,,
"Religion0009","Now Playing on ""JesusOnlyRadio"" ""Lift Evry Voice and Sing"" by Nicole Heaston - (Roland Carter Arrangement) - Jesus Only Radio Presents,",,,
"Religion0010","@Ameeyrah_x May Allah have mercy on her and may Jannatul Firdaus be her final home. Ameen",,,
"Religion0011","@davido Amin ashe isha allah❤️🙏🏾🙏🏾🙏🏾🙏🏾bless our days for life @davido",,,
"Religion0012","Beautiful things always hidden by hardships, so Allah will surprise us after our patience with His benefactions.",,,
"Religion0013","Jesus said work for God instead of money and better yet do it together to be one with me! Matthew 6, 7, John 4, 17.",,,
"Religion0014","“Jesus Christ is the same yesterday and today and forever.”
Hebrews 13:8 NASB1995 https://t.co/oaa39JeLuK",,,
"Religion0015","@kagara_hafsy Accept my sincere condolence. May Allah grant reprieve to the departed. Amin",,,
