"ID","text"
"Travel00001","@VirginAmerica What @dhepburn said."
"Travel00002","@VirginAmerica plus you've added commercials to the experience... tacky."
"Travel00003","@VirginAmerica I didn't today... Must mean I need to take another trip!"
"Travel00004","@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
"Travel00005","@VirginAmerica and it's a really big bad thing about it"
"Travel00006","@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
"Travel00007","@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
"Travel00008","@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
"Travel00009","@virginamerica Well, I didn't…but NOW I DO! :-D"
"Travel00010","@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
"Travel00011","@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24"
"Travel00012","@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D"
"Travel00013","@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p"
"Travel00014","@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn"
"Travel00015","@VirginAmerica Thanks!"
"Travel00016","@VirginAmerica SFO-PDX schedule is still MIA."
"Travel00017","@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo"
"Travel00018","@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!"
"Travel00019","I ❤️ flying @VirginAmerica. ☺️👍"
"Travel00020","@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you."
"Travel00021","@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???"
"Travel00022","@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA"
"Travel00023","@VirginAmerica I love the hipster innovation. You are a feel good brand."
"Travel00024","@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?"
"Travel00025","@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet"
"Travel00026","@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response."
"Travel00027","@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail"
"Travel00028","@VirginAmerica do you miss me? Don't worry we'll be together very soon."
"Travel00029","@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS"
"Travel00030","@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix"
"Travel00031","@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
"Travel00032","@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?"
"Travel00033","@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
"Travel00034","@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
"Travel00035","@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews"
"Travel00036","Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP"
"Travel00037","@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday"
"Travel00038","@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
"Travel00039","@VirginAmerica when can I book my flight to Hawaii??"
"Travel00040","@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk"
"Travel00041","@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
"Travel00042","@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
"Travel00043","@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️"
"Travel00044","@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp"
"Travel00045","@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?"
"Travel00046","@VirginAmerica I'm #elevategold for a good reason: you rock!!"
"Travel00047","@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx"
"Travel00048","@VirginAmerica wow this just blew my mind"
"Travel00049","@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree"
"Travel00050","@VirginAmerica @ladygaga @carrieunderwood All were entertaining"
"Travel00051","@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
"Travel00052","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood"
"Travel00053","@VirginAmerica wish you flew out of Atlanta... Soon?"
"Travel00054","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down."
"Travel00055","@VirginAmerica Will flights be leaving Dallas for LA on February 24th?"
"Travel00056","@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!"
"Travel00057","@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures"
"Travel00058","@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊"
"Travel00059","@VirginAmerica @ladygaga @carrieunderwood - Carrie!"
"Travel00060","@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?"
